,Colony,Distance,Mass,Headwidth,Headwidth..mm.,Size.class
79,1,7,92,17,1.684,40-43
80,1,10,123,22,1.853,>43
81,1,10,72,10,1.389,30-34
82,1,10,92,17,1.684,40-43
83,1,10,75,15,1.6,35-39
84,1,10,110,24,1.937,>43
85,1,10,97,21,1.811,40-43
86,1,10,93,18,1.726,40-43
87,1,10,88,21,1.811,40-43
88,1,10,82,20,1.768,40-43
89,1,10,101,21,1.811,40-43
90,1,10,110,18,1.726,40-43
91,1,10,75,14,1.558,35-39
92,1,10,81,17,1.684,40-43
93,1,10,99,21,1.811,40-43
94,1,10,103,21,1.811,40-43
95,1,10,114,24,1.937,>43
96,1,10,101,24,1.937,>43
97,1,10,77,20,1.768,40-43
98,1,10,125,25,1.979,>43
99,1,10,90,16,1.642,35-39
100,2,1,148,23,1.895,>43
101,2,1,110,23,1.895,>43
102,2,1,110,18,1.726,40-43
103,2,1,97,18,1.726,40-43
104,2,1,136,23,1.895,>43
105,2,1,115,21,1.811,40-43
106,2,1,101,20,1.768,40-43
107,2,1,158,25,1.979,>43
108,2,1,67,13,1.516,35-39
109,2,1,114,20,1.768,40-43
110,2,1,62,12,1.474,35-39
111,2,1,67,13,1.516,35-39
112,2,1,121,23,1.895,>43
113,2,1,47,10,1.389,30-34
114,2,1,82,14,1.558,35-39
115,2,1,79,15,1.6,35-39
116,2,1,119,24,1.937,>43
117,2,1,111,18,1.726,40-43
118,2,1,47,9,1.347,30-34
119,2,1,75,16,1.642,35-39
120,2,1,60,12,1.474,35-39
121,2,1,104,23,1.895,>43
122,2,4,133,24,1.937,>43
123,2,4,134,25,1.979,>43
124,2,4,73,22,1.853,>43
125,2,4,121,22,1.853,>43
126,2,4,73,16,1.642,35-39
127,2,4,86,20,1.768,40-43
128,2,4,63,17,1.684,40-43
129,2,4,84,18,1.726,40-43
130,2,4,129,24,1.937,>43
131,2,4,106,23,1.895,>43
132,2,4,90,17,1.684,40-43
133,2,4,62,15,1.6,35-39
134,2,4,70,16,1.642,35-39
135,2,4,86,22,1.853,>43
136,2,4,99,20,1.768,40-43
137,2,4,50,13,1.516,35-39
138,2,4,133,25,1.979,>43
139,2,4,74,21,1.811,40-43
140,2,4,140,25,1.979,>43
141,2,4,77,14,1.558,35-39
142,2,4,137,24,1.937,>43
143,2,4,94,16,1.642,35-39
144,2,7,79,16,1.642,35-39
145,2,7,105,20,1.768,40-43
146,2,7,104,20,1.768,40-43
147,2,7,99,21,1.811,40-43
148,2,7,67,12,1.474,35-39
149,2,7,129,24,1.937,>43
150,2,7,97,14,1.558,35-39
151,2,7,126,23,1.895,>43
152,2,7,152,24,1.937,>43
153,2,7,67,11,1.432,30-34
154,2,7,60,11,1.432,30-34
155,2,7,94,17,1.684,40-43
156,2,7,128,24,1.937,>43
157,2,7,101,21,1.811,40-43
158,2,7,44,8,1.305,30-34
159,2,7,119,23,1.895,>43
160,2,7,117,23,1.895,>43
161,2,7,80,17,1.684,40-43
162,2,7,78,16,1.642,35-39
163,2,7,54,8,1.305,30-34
164,2,7,99,23,1.895,>43
165,2,10,137,22,1.853,>43
166,2,10,120,20,1.768,40-43
167,2,10,107,20,1.768,40-43
168,2,10,98,21,1.811,40-43
169,2,10,97,23,1.895,>43
170,2,10,55,21,1.811,40-43
171,2,10,96,17,1.684,40-43
172,2,10,118,21,1.811,40-43
173,2,10,73,16,1.642,35-39
174,2,10,102,21,1.811,40-43
175,2,10,103,22,1.853,>43
176,2,10,97,23,1.895,>43
177,2,10,96,21,1.811,40-43
178,2,10,81,20,1.768,40-43
179,2,10,114,20,1.768,40-43
180,2,10,143,25,1.979,>43
181,2,10,52,7,1.263,30-34
182,2,10,83,21,1.811,40-43
183,2,10,76,14,1.558,35-39
184,2,10,141,23,1.895,>43
185,2,10,99,17,1.684,40-43
186,2,10,154,26,2.021,>43
187,2,10,109,20,1.768,40-43
188,3,1,103,17,1.684,40-43
189,3,1,55,9,1.347,30-34
190,3,1,154,24,1.937,>43
191,3,1,105,17,1.684,40-43
192,3,1,90,13,1.516,35-39
193,3,1,103,21,1.811,40-43
194,3,1,106,20,1.768,40-43
195,3,1,64,15,1.6,35-39
196,3,1,81,15,1.6,35-39
197,3,1,120,20,1.768,40-43
198,3,1,69,12,1.474,35-39
199,3,1,85,17,1.684,40-43
200,3,1,143,27,2.063,>43
201,3,1,70,16,1.642,35-39
202,3,1,97,21,1.811,40-43
203,3,1,127,23,1.895,>43
204,3,1,74,13,1.516,35-39
205,3,1,81,16,1.642,35-39
206,3,1,89,20,1.768,40-43
207,3,1,28,6,1.221,<30
208,3,1,54,9,1.347,30-34
209,3,1,113,24,1.937,>43
210,3,4,93,21,1.811,40-43
211,3,4,117,20,1.768,40-43
212,3,4,81,12,1.474,35-39
213,3,4,127,21,1.811,40-43
214,3,4,128,26,2.021,>43
215,3,4,102,18,1.726,40-43
216,3,4,94,15,1.6,35-39
217,3,4,76,13,1.516,35-39
218,3,4,111,20,1.768,40-43
219,3,4,86,18,1.726,40-43
220,3,4,56,12,1.474,35-39
221,3,4,87,16,1.642,35-39
222,3,4,66,12,1.474,35-39
223,3,4,82,18,1.726,40-43
224,3,4,61,7,1.263,30-34
225,3,4,57,8,1.305,30-34
226,3,4,135,25,1.979,>43
227,3,4,104,20,1.768,40-43
228,3,4,132,26,2.021,>43
229,3,4,120,22,1.853,>43
230,3,4,118,21,1.811,40-43
231,3,4,111,23,1.895,>43
232,3,7,74,11,1.432,30-34
233,3,7,80,16,1.642,35-39
234,3,7,95,18,1.726,40-43
235,3,7,64,8,1.305,30-34
236,3,7,50,9,1.347,30-34
237,3,7,122,23,1.895,>43
238,3,7,81,16,1.642,35-39
239,3,7,105,20,1.768,40-43
240,3,7,89,16,1.642,35-39
241,3,7,145,23,1.895,>43
242,3,7,43,9,1.347,30-34
243,3,7,70,15,1.6,35-39
244,3,7,66,13,1.516,35-39
245,3,7,99,16,1.642,35-39
246,3,7,120,23,1.895,>43
247,3,7,116,22,1.853,>43
248,3,7,105,17,1.684,40-43
249,3,7,132,23,1.895,>43
250,3,7,77,16,1.642,35-39
251,3,7,123,23,1.895,>43
252,3,7,126,24,1.937,>43
253,3,10,108,22,1.853,>43
254,3,10,92,18,1.726,40-43
255,3,10,86,16,1.642,35-39
256,3,10,95,17,1.684,40-43
257,3,10,89,18,1.726,40-43
258,3,10,119,21,1.811,40-43
259,3,10,60,13,1.516,35-39
260,3,10,100,20,1.768,40-43
261,3,10,95,17,1.684,40-43
262,3,10,55,9,1.347,30-34
263,3,10,78,17,1.684,40-43
264,3,10,75,15,1.6,35-39
265,3,10,112,22,1.853,>43
266,3,10,98,20,1.768,40-43
267,3,10,77,15,1.6,35-39
268,3,10,84,17,1.684,40-43
269,3,10,92,11,1.432,30-34
270,3,10,110,21,1.811,40-43
271,3,10,140,25,1.979,>43
272,3,10,84,16,1.642,35-39
273,3,10,61,7,1.263,30-34
274,3,10,129,23,1.895,>43
275,3,10,116,18,1.726,40-43
276,4,1,74,17,1.684,40-43
277,4,1,95,15,1.6,35-39
278,4,1,89,18,1.726,40-43
279,4,1,95,18,1.726,40-43
280,4,1,69,17,1.684,40-43
281,4,1,102,18,1.726,40-43
282,4,1,84,16,1.642,35-39
283,4,1,76,15,1.6,35-39
284,4,1,66,13,1.516,35-39
285,4,1,134,24,1.937,>43
286,4,1,102,16,1.642,35-39
287,4,1,60,15,1.6,35-39
288,4,1,127,23,1.895,>43
289,4,1,36,7,1.263,30-34
290,4,1,65,14,1.558,35-39
291,4,1,165,24,1.937,>43
292,4,1,94,18,1.726,40-43
293,4,1,43,11,1.432,30-34
294,4,1,91,21,1.811,40-43
295,4,1,107,20,1.768,40-43
296,4,1,94,17,1.684,40-43
297,4,1,71,14,1.558,35-39
298,4,1,85,21,1.811,40-43
299,4,1,60,14,1.558,35-39
300,4,1,132,17,1.684,40-43
301,4,1,127,23,1.895,>43
302,4,1,68,13,1.516,35-39
303,4,1,147,23,1.895,>43
304,4,1,76,15,1.6,35-39
305,4,1,106,21,1.811,40-43
306,4,4,106,17,1.684,40-43
307,4,4,72,12,1.474,35-39
308,4,4,131,21,1.811,40-43
309,4,4,70,17,1.684,40-43
310,4,4,126,23,1.895,>43
311,4,4,77,18,1.726,40-43
312,4,4,78,21,1.811,40-43
313,4,4,103,18,1.726,40-43
314,4,4,82,17,1.684,40-43
315,4,4,103,18,1.726,40-43
316,4,4,90,20,1.768,40-43
317,4,4,105,20,1.768,40-43
318,4,4,96,18,1.726,40-43
319,4,4,80,16,1.642,35-39
320,4,4,112,23,1.895,>43
321,4,4,64,14,1.558,35-39
322,4,4,101,21,1.811,40-43
323,4,4,112,22,1.853,>43
324,4,4,121,21,1.811,40-43
325,4,4,125,23,1.895,>43
326,4,4,101,18,1.726,40-43
327,4,4,100,20,1.768,40-43
328,4,4,140,23,1.895,>43
329,4,4,58,11,1.432,30-34
330,4,4,84,20,1.768,40-43
331,4,7,139,22,1.853,>43
332,4,7,114,22,1.853,>43
333,4,7,121,24,1.937,>43
334,4,7,58,18,1.726,40-43
335,4,7,103,18,1.726,40-43
336,4,7,108,21,1.811,40-43
337,4,7,106,17,1.684,40-43
338,4,7,59,8,1.305,30-34
339,4,7,104,20,1.768,40-43
340,4,7,116,21,1.811,40-43
341,4,7,85,18,1.726,40-43
342,4,7,68,17,1.684,40-43
343,4,7,58,11,1.432,30-34
344,4,7,79,17,1.684,40-43
345,4,7,100,22,1.853,>43
346,4,7,77,14,1.558,35-39
347,4,7,110,20,1.768,40-43
348,4,7,104,21,1.811,40-43
349,4,7,125,23,1.895,>43
350,4,7,123,18,1.726,40-43
351,4,7,82,17,1.684,40-43
352,4,7,102,17,1.684,40-43
353,4,7,111,20,1.768,40-43
354,4,7,92,17,1.684,40-43
355,4,10,113,21,1.811,40-43
356,4,10,117,20,1.768,40-43
357,4,10,98,20,1.768,40-43
358,4,10,115,23,1.895,>43
359,4,10,145,24,1.937,>43
360,4,10,97,20,1.768,40-43
361,4,10,97,21,1.811,40-43
362,4,10,95,20,1.768,40-43
363,4,10,83,21,1.811,40-43
364,4,10,65,14,1.558,35-39
365,4,10,107,21,1.811,40-43
366,4,10,112,21,1.811,40-43
367,4,10,113,22,1.853,>43
368,4,10,97,21,1.811,40-43
369,4,10,94,21,1.811,40-43
370,4,10,81,20,1.768,40-43
371,4,10,102,23,1.895,>43
372,4,10,79,18,1.726,40-43
373,4,10,132,25,1.979,>43
374,4,10,98,20,1.768,40-43
375,4,10,107,20,1.768,40-43
376,4,10,81,17,1.684,40-43
377,4,10,121,24,1.937,>43
378,4,10,95,18,1.726,40-43
379,4,10,79,17,1.684,40-43
380,6,1,77,14,1.558,35-39
381,6,1,64,13,1.516,35-39
382,6,1,87,17,1.684,40-43
383,6,1,116,23,1.895,>43
384,6,1,77,15,1.6,35-39
385,6,1,75,12,1.474,35-39
386,6,1,88,17,1.684,40-43
387,6,1,33,4,1.137,<30
388,6,1,111,22,1.853,>43
389,6,1,111,22,1.853,>43
390,6,1,38,10,1.389,30-34
391,6,1,101,20,1.768,40-43
392,6,1,95,18,1.726,40-43
393,6,1,33,4,1.137,<30
394,6,1,91,16,1.642,35-39
395,6,1,63,12,1.474,35-39
396,6,1,103,12,1.474,35-39
397,6,1,45,9,1.347,30-34
398,6,1,78,15,1.6,35-39
399,6,1,120,21,1.811,40-43
400,6,1,36,7,1.263,30-34
401,6,1,73,15,1.6,35-39
402,6,1,134,24,1.937,>43
403,6,1,87,21,1.811,40-43
404,6,1,128,24,1.937,>43
405,6,1,113,23,1.895,>43
406,6,1,158,26,2.021,>43
407,6,1,112,22,1.853,>43
408,6,1,60,13,1.516,35-39
409,6,1,147,25,1.979,>43
410,6,1,80,16,1.642,35-39
411,6,1,74,14,1.558,35-39
412,6,1,57,10,1.389,30-34
413,6,1,85,13,1.516,35-39
414,6,1,64,17,1.684,40-43
415,6,4,146,26,2.021,>43
416,6,4,55,12,1.474,35-39
417,6,4,67,13,1.516,35-39
418,6,4,142,25,1.979,>43
419,6,4,100,18,1.726,40-43
420,6,4,117,22,1.853,>43
421,6,4,44,9,1.347,30-34
422,6,4,43,8,1.305,30-34
423,6,4,67,16,1.642,35-39
424,6,4,110,22,1.853,>43
425,6,4,83,16,1.642,35-39
426,6,4,57,13,1.516,35-39
427,6,4,56,9,1.347,30-34
428,6,4,54,8,1.305,30-34
429,6,4,99,23,1.895,>43
430,6,4,47,7,1.263,30-34
431,6,4,84,15,1.6,35-39
432,6,4,68,12,1.474,35-39
433,6,4,103,17,1.684,40-43
434,6,4,58,9,1.347,30-34
435,6,4,125,22,1.853,>43
436,6,4,95,17,1.684,40-43
437,6,4,91,18,1.726,40-43
438,6,4,100,22,1.853,>43
439,6,4,83,15,1.6,35-39
440,6,4,61,11,1.432,30-34
441,6,4,40,6,1.221,<30
442,6,4,103,17,1.684,40-43
443,6,4,68,15,1.6,35-39
444,6,4,78,15,1.6,35-39
445,6,4,54,11,1.432,30-34
446,6,4,88,20,1.768,40-43
447,6,4,115,23,1.895,>43
448,6,4,104,25,1.979,>43
449,6,4,64,15,1.6,35-39
450,6,7,98,20,1.768,40-43
451,6,7,49,8,1.305,30-34
452,6,7,75,10,1.389,30-34
453,6,7,120,20,1.768,40-43
454,6,7,126,25,1.979,>43
455,6,7,121,21,1.811,40-43
456,6,7,93,22,1.853,>43
457,6,7,118,24,1.937,>43
458,6,7,74,16,1.642,35-39
459,6,7,122,23,1.895,>43
460,6,7,93,17,1.684,40-43
461,6,7,114,22,1.853,>43
462,6,7,128,24,1.937,>43
463,6,7,101,20,1.768,40-43
464,6,7,111,22,1.853,>43
465,6,7,85,16,1.642,35-39
466,6,7,92,18,1.726,40-43
467,6,7,67,13,1.516,35-39
468,6,7,77,18,1.726,40-43
469,6,7,85,20,1.768,40-43
470,6,7,109,22,1.853,>43
471,6,7,46,9,1.347,30-34
472,6,7,88,18,1.726,40-43
473,6,7,130,25,1.979,>43
474,6,7,104,22,1.853,>43
475,6,7,91,17,1.684,40-43
476,6,7,111,21,1.811,40-43
477,6,10,86,23,1.895,>43
478,6,10,71,21,1.811,40-43
479,6,10,152,24,1.937,>43
480,6,10,137,20,1.768,40-43
481,6,10,76,18,1.726,40-43
482,6,10,120,22,1.853,>43
483,6,10,60,18,1.726,40-43
484,6,10,94,17,1.684,40-43
485,6,10,87,14,1.558,35-39
486,6,10,76,16,1.642,35-39
487,6,10,94,17,1.684,40-43
488,6,10,111,22,1.853,>43
489,6,10,90,12,1.474,35-39
490,6,10,35,4,1.137,<30
491,6,10,87,16,1.642,35-39
492,6,10,138,20,1.768,40-43
493,6,10,68,14,1.558,35-39
494,6,10,95,20,1.768,40-43
495,6,10,97,21,1.811,40-43
496,6,10,101,23,1.895,>43
497,6,10,90,22,1.853,>43
498,7,1,85,15,1.6,35-39
499,7,1,103,18,1.726,40-43
500,7,1,125,23,1.895,>43
501,7,1,80,15,1.6,35-39
502,7,1,122,23,1.895,>43
503,7,1,113,21,1.811,40-43
504,7,1,113,18,1.726,40-43
505,7,1,87,17,1.684,40-43
506,7,1,86,15,1.6,35-39
507,7,1,99,20,1.768,40-43
508,7,1,124,24,1.937,>43
509,7,1,92,18,1.726,40-43
510,7,1,75,13,1.516,35-39
511,7,1,97,21,1.811,40-43
512,7,1,73,13,1.516,35-39
513,7,1,82,14,1.558,35-39
514,7,1,84,17,1.684,40-43
515,7,1,114,23,1.895,>43
516,7,1,79,15,1.6,35-39
517,7,1,90,16,1.642,35-39
518,7,1,77,14,1.558,35-39
519,7,1,105,17,1.684,40-43
520,7,1,59,10,1.389,30-34
521,7,1,74,13,1.516,35-39
522,7,4,116,24,1.937,>43
523,7,4,65,17,1.684,40-43
524,7,4,97,21,1.811,40-43
525,7,4,90,14,1.558,35-39
526,7,4,120,18,1.726,40-43
527,7,4,84,12,1.474,35-39
528,7,4,59,11,1.432,30-34
529,7,4,74,16,1.642,35-39
530,7,4,118,22,1.853,>43
531,7,4,46,5,1.179,<30
532,7,4,121,23,1.895,>43
533,7,4,113,22,1.853,>43
534,7,4,81,14,1.558,35-39
535,7,4,91,16,1.642,35-39
536,7,4,136,24,1.937,>43
537,7,4,65,12,1.474,35-39
538,7,4,114,21,1.811,40-43
539,7,4,135,23,1.895,>43
540,7,4,87,18,1.726,40-43
541,7,4,114,23,1.895,>43
542,7,4,69,9,1.347,30-34
543,7,4,113,23,1.895,>43
544,7,4,83,15,1.6,35-39
545,7,4,76,17,1.684,40-43
546,7,4,122,NA,NA,Unknown
547,7,4,151,20,1.768,40-43
548,7,4,41,7,1.263,30-34
549,7,4,58,14,1.558,35-39
550,7,7,87,18,1.726,40-43
551,7,7,86,21,1.811,40-43
552,7,7,70,16,1.642,35-39
553,7,7,110,24,1.937,>43
554,7,7,64,12,1.474,35-39
555,7,7,87,17,1.684,40-43
556,7,7,79,16,1.642,35-39
557,7,7,125,22,1.853,>43
558,7,7,125,23,1.895,>43
559,7,7,48,8,1.305,30-34
560,7,7,114,21,1.811,40-43
561,7,7,99,21,1.811,40-43
562,7,7,101,18,1.726,40-43
563,7,7,90,17,1.684,40-43
564,7,7,88,18,1.726,40-43
565,7,7,85,18,1.726,40-43
566,7,7,90,21,1.811,40-43
567,7,7,73,18,1.726,40-43
568,7,7,97,22,1.853,>43
569,7,7,59,11,1.432,30-34
570,7,10,108,22,1.853,>43
571,7,10,123,20,1.768,40-43
572,7,10,90,17,1.684,40-43
573,7,10,68,20,1.768,40-43
574,7,10,71,17,1.684,40-43
575,7,10,55,13,1.516,35-39
576,7,10,84,24,1.937,>43
577,7,10,61,18,1.726,40-43
578,7,10,73,20,1.768,40-43
579,7,10,65,17,1.684,40-43
580,7,10,75,13,1.516,35-39
581,7,10,118,23,1.895,>43
582,7,10,129,24,1.937,>43
583,7,10,91,23,1.895,>43
584,7,10,117,21,1.811,40-43
585,7,10,139,20,1.768,40-43
586,7,10,108,15,1.6,35-39
587,7,10,123,20,1.768,40-43
588,7,10,87,15,1.6,35-39
589,7,10,119,18,1.726,40-43
590,8,1,71,13,1.516,35-39
591,8,1,127,21,1.811,40-43
592,8,1,110,23,1.895,>43
593,8,1,80,12,1.474,35-39
594,8,1,36,5,1.179,<30
595,8,1,44,10,1.389,30-34
596,8,1,113,22,1.853,>43
597,8,1,77,15,1.6,35-39
598,8,1,102,24,1.937,>43
599,8,1,86,22,1.853,>43
600,8,1,108,21,1.811,40-43
601,8,1,118,21,1.811,40-43
602,8,1,102,22,1.853,>43
603,8,1,59,17,1.684,40-43
604,8,1,75,22,1.853,>43
605,8,1,80,17,1.684,40-43
606,8,1,102,22,1.853,>43
607,8,1,117,22,1.853,>43
608,8,1,54,10,1.389,30-34
609,8,1,99,22,1.853,>43
610,8,4,88,22,1.853,>43
611,8,4,56,13,1.516,35-39
612,8,4,108,18,1.726,40-43
613,8,4,98,18,1.726,40-43
614,8,4,23,6,1.221,<30
615,8,4,162,22,1.853,>43
616,8,4,35,5,1.179,<30
617,8,4,113,23,1.895,>43
618,8,4,67,12,1.474,35-39
619,8,4,58,10,1.389,30-34
620,8,4,104,21,1.811,40-43
621,8,4,121,22,1.853,>43
622,8,4,130,23,1.895,>43
623,8,4,118,16,1.642,35-39
624,8,4,140,25,1.979,>43
625,8,4,94,17,1.684,40-43
626,8,4,111,24,1.937,>43
627,8,4,115,15,1.6,35-39
628,8,4,164,20,1.768,40-43
629,8,4,147,NA,NA,Unknown
630,8,4,152,23,1.895,>43
631,8,4,148,22,1.853,>43
632,8,7,97,21,1.811,40-43
633,8,7,95,21,1.811,40-43
634,8,7,90,18,1.726,40-43
635,8,7,95,17,1.684,40-43
636,8,7,88,22,1.853,>43
637,8,7,83,18,1.726,40-43
638,8,7,86,14,1.558,35-39
639,8,7,88,17,1.684,40-43
640,8,7,111,20,1.768,40-43
641,8,7,102,24,1.937,>43
642,8,7,64,14,1.558,35-39
643,8,7,84,18,1.726,40-43
644,8,7,112,20,1.768,40-43
645,8,7,85,20,1.768,40-43
646,8,7,74,11,1.432,30-34
647,8,7,77,20,1.768,40-43
648,8,7,44,13,1.516,35-39
649,8,7,62,16,1.642,35-39
650,8,7,74,15,1.6,35-39
651,8,7,74,15,1.6,35-39
652,8,10,67,13,1.516,35-39
653,8,10,72,15,1.6,35-39
654,8,10,110,20,1.768,40-43
655,8,10,112,23,1.895,>43
656,8,10,136,23,1.895,>43
657,8,10,64,18,1.726,40-43
658,8,10,77,18,1.726,40-43
659,8,10,95,20,1.768,40-43
660,8,10,90,12,1.474,35-39
661,8,10,110,24,1.937,>43
662,8,10,139,24,1.937,>43
663,8,10,142,22,1.853,>43
664,8,10,73,13,1.516,35-39
665,8,10,106,17,1.684,40-43
666,8,10,80,16,1.642,35-39
667,8,10,119,20,1.768,40-43
668,8,10,119,23,1.895,>43
669,8,10,97,20,1.768,40-43
670,8,10,109,21,1.811,40-43
671,8,10,113,21,1.811,40-43
672,8,10,108,22,1.853,>43
673,8,10,99,20,1.768,40-43
674,8,10,93,17,1.684,40-43
675,9,1,139,21,1.811,40-43
676,9,1,153,22,1.853,>43
677,9,1,123,20,1.768,40-43
678,9,1,70,13,1.516,35-39
679,9,1,77,13,1.516,35-39
680,9,1,89,13,1.516,35-39
681,9,1,51,6,1.221,<30
682,9,1,116,20,1.768,40-43
683,9,1,105,16,1.642,35-39
684,9,1,106,17,1.684,40-43
685,9,1,74,13,1.516,35-39
686,9,1,80,14,1.558,35-39
687,9,1,30,3,1.095,<30
688,9,1,110,21,1.811,40-43
689,9,1,60,8,1.305,30-34
690,9,1,80,18,1.726,40-43
691,9,1,43,6,1.221,<30
692,9,1,111,23,1.895,>43
693,9,1,108,16,1.642,35-39
694,9,1,48,7,1.263,30-34
695,9,1,88,16,1.642,35-39
696,9,1,54,9,1.347,30-34
697,9,1,78,13,1.516,35-39
698,9,1,37,8,1.305,30-34
699,9,1,25,4,1.137,<30
700,9,1,121,24,1.937,>43
701,9,1,71,14,1.558,35-39
702,9,1,39,6,1.221,<30
703,9,4,139,23,1.895,>43
704,9,4,86,13,1.516,35-39
705,9,4,132,20,1.768,40-43
706,9,4,137,25,1.979,>43
707,9,4,159,21,1.811,40-43
708,9,4,120,23,1.895,>43
709,9,4,77,11,1.432,30-34
710,9,4,67,12,1.474,35-39
711,9,4,104,23,1.895,>43
712,9,4,83,17,1.684,40-43
713,9,4,122,23,1.895,>43
714,9,4,114,22,1.853,>43
715,9,4,50,8,1.305,30-34
716,9,4,147,24,1.937,>43
717,9,4,78,14,1.558,35-39
718,9,4,56,9,1.347,30-34
719,9,4,34,4,1.137,<30
720,9,4,92,16,1.642,35-39
721,9,4,41,7,1.263,30-34
722,9,4,75,14,1.558,35-39
723,9,4,89,15,1.6,35-39
724,9,4,121,NA,NA,Unknown
725,9,7,129,24,1.937,>43
726,9,7,86,15,1.6,35-39
727,9,7,129,25,1.979,>43
728,9,7,99,16,1.642,35-39
729,9,7,112,23,1.895,>43
730,9,7,74,17,1.684,40-43
731,9,7,122,22,1.853,>43
732,9,7,126,25,1.979,>43
733,9,7,89,16,1.642,35-39
734,9,7,94,16,1.642,35-39
735,9,7,111,21,1.811,40-43
736,9,7,103,20,1.768,40-43
737,9,7,65,14,1.558,35-39
738,9,7,58,13,1.516,35-39
739,9,7,113,14,1.558,35-39
740,9,7,109,20,1.768,40-43
741,9,7,76,21,1.811,40-43
742,9,7,59,13,1.516,35-39
743,9,7,89,18,1.726,40-43
744,9,7,65,14,1.558,35-39
745,9,7,56,12,1.474,35-39
746,9,7,130,23,1.895,>43
747,9,7,89,18,1.726,40-43
748,9,7,109,21,1.811,40-43
749,9,7,115,23,1.895,>43
750,9,7,136,25,1.979,>43
751,9,7,71,15,1.6,35-39
752,9,7,97,18,1.726,40-43
753,9,7,113,24,1.937,>43
754,9,7,53,11,1.432,30-34
755,9,7,126,23,1.895,>43
756,9,7,59,11,1.432,30-34
757,9,7,114,24,1.937,>43
758,9,10,118,20,1.768,40-43
759,9,10,84,14,1.558,35-39
760,9,10,124,23,1.895,>43
761,9,10,112,22,1.853,>43
762,9,10,111,18,1.726,40-43
763,9,10,98,16,1.642,35-39
764,9,10,73,14,1.558,35-39
765,9,10,111,18,1.726,40-43
766,9,10,144,22,1.853,>43
767,9,10,108,17,1.684,40-43
768,9,10,114,14,1.558,35-39
769,9,10,45,8,1.305,30-34
770,9,10,136,22,1.853,>43
771,9,10,55,12,1.474,35-39
772,9,10,92,17,1.684,40-43
773,9,10,153,24,1.937,>43
774,9,10,121,17,1.684,40-43
775,9,10,123,23,1.895,>43
776,9,10,163,24,1.937,>43
777,9,10,90,18,1.726,40-43
778,9,10,114,24,1.937,>43
779,9,10,118,21,1.811,40-43
780,9,10,95,15,1.6,35-39
781,10,1,123,21,1.811,40-43
782,10,1,119,21,1.811,40-43
783,10,1,125,24,1.937,>43
784,10,1,87,15,1.6,35-39
785,10,1,168,26,2.021,>43
786,10,1,111,23,1.895,>43
